Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8
1751460571.6585107,73,116,112,179,375,47,26,27
1751460571.6954112,75,121,110,127,422,39,27,28
1751460571.7183766,74,119,104,124,437,39,25,25
1751460571.7552822,45,117,104,153,417,36,23,26
1751460571.7782197,45,118,110,157,423,40,24,26
1751460571.801158,67,110,119,152,359,38,24,26
1751460571.8231,68,109,120,152,353,42,26,27
1751460571.8530204,69,126,137,162,464,50,28,25
1751460571.8749611,66,129,142,164,450,50,29,24
1751460571.8978996,58,133,133,165,489,50,28,22
1751460571.9348006,55,110,99,129,346,43,27,21
1751460571.958737,53,114,94,101,383,37,26,20
1751460571.9956374,39,119,91,90,409,31,25,23
1751460572.0185764,48,124,94,90,399,33,25,22
1751460572.0554779,60,107,100,115,458,40,25,22
1751460572.0787895,61,92,109,136,477,43,23,21
1751460572.1147192,60,88,100,132,466,48,47,22
1751460572.1386595,64,119,109,141,482,46,46,22
1751460572.1685753,56,115,105,124,386,45,46,22
1751460572.1984673,53,113,91,110,373,42,31,22
1751460572.2204387,48,104,85,121,393,54,27,25
1751460572.258308,52,81,68,141,481,63,29,25
1751460572.2812734,55,83,67,162,485,62,28,26
1751460572.3181777,55,76,62,151,386,49,24,23
1751460572.3411171,54,60,64,169,430,49,26,24
1751460572.3780446,32,39,53,122,335,50,26,24
1751460572.4010253,39,44,52,137,333,56,26,23
1751460572.4378917,39,46,48,154,425,60,28,22
1751460572.460949,38,42,52,152,434,60,27,21
1751460572.498761,33,47,62,178,539,73,29,20
1751460572.5206912,33,75,87,152,461,70,31,21
1751460572.56555,47,83,87,148,447,69,31,22
1751460572.595528,47,76,81,126,382,45,29,23
1751460572.6184394,47,51,53,123,375,37,24,21
1751460572.6413796,58,39,46,130,387,36,25,22
1751460572.686259,52,42,48,151,425,39,27,22
1751460572.7152088,52,36,60,178,468,45,28,22
1751460572.7381475,49,59,71,180,479,45,28,21
1751460572.7610896,46,65,82,205,530,47,30,23
1751460572.7979872,47,67,80,157,495,45,28,21
1751460572.8219259,53,72,80,138,459,42,26,23
1751460572.8588274,61,51,60,88,424,39,24,23
1751460572.880796,61,57,55,90,403,39,25,21
1751460572.9186685,62,54,69,80,360,37,25,23
1751460572.9485872,47,51,63,80,354,35,23,21
1751460572.9785414,51,41,66,91,329,38,22,21
1751460573.0004761,51,39,66,90,318,37,23,19
1751460573.0383546,42,43,48,118,378,39,22,22
1751460573.0611072,42,40,45,137,331,37,23,21
1751460573.0830445,31,43,45,131,313,32,22,22
1751460573.1209476,43,61,57,140,371,36,25,21
1751460573.1438863,47,62,59,135,390,39,24,21
1751460573.1807883,49,87,74,108,386,41,25,21
1751460573.2028694,56,102,78,106,375,39,24,23
1751460573.2407696,52,105,90,136,289,45,30,26
1751460573.2637072,55,99,87,150,357,55,31,27
1751460573.3085876,71,96,93,146,325,60,31,26
1751460573.330529,74,91,85,138,425,64,29,24
1751460573.3534663,73,90,89,126,478,59,27,25
1751460573.3829095,71,115,94,131,447,45,24,25
1751460573.4208102,62,119,106,147,404,45,28,27
1751460573.4437473,59,122,102,145,376,44,27,28
1751460573.4806533,65,130,135,149,434,46,32,32
1751460573.5035882,61,137,149,162,463,39,30,31
