Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8
1751460530.0769503,73,67,76,79,41,46,119,27
1751460530.0998874,69,63,78,83,38,44,119,24
1751460530.121887,68,64,86,90,36,38,119,24
1751460530.1447988,57,70,93,87,39,42,60,22
1751460530.1667688,55,72,99,114,41,42,41,20
1751460530.1966586,63,75,123,158,44,47,33,24
1751460530.2186637,61,70,117,154,45,47,32,23
1751460530.256529,88,120,187,196,46,37,27,25
1751460530.2794673,84,114,189,184,49,31,24,22
1751460530.302706,76,116,185,205,54,33,23,22
1751460530.3386102,57,116,183,218,112,54,25,21
1751460530.3765407,40,73,111,160,227,61,26,23
1751460530.3994787,42,96,120,157,241,60,27,23
1751460530.4224167,45,94,91,140,269,53,26,25
1751460530.4443588,54,94,86,146,265,63,29,28
1751460530.4673283,57,93,105,153,299,75,33,27
1751460530.4892654,56,91,105,153,306,74,32,27
1751460530.5192158,48,75,90,135,281,69,30,23
1751460530.542128,37,93,112,126,296,58,27,20
1751460530.579057,59,96,92,112,306,53,26,19
1751460530.6099474,60,92,101,116,310,55,28,20
1751460530.6318865,63,95,104,117,312,54,28,21
1751460530.6548529,63,81,86,126,329,55,27,21
1751460530.6777647,41,86,103,131,347,56,27,21
1751460530.700703,43,117,135,149,325,76,28,22
1751460530.7535615,40,112,134,144,329,77,27,22
1751460530.7894654,34,94,105,93,165,49,25,20
1751460530.819366,31,69,79,100,137,58,29,21
1751460530.8423047,28,56,66,97,158,57,27,20
1751460530.8792374,28,56,65,110,287,56,26,22
1751460530.9027328,26,48,65,91,291,57,26,22
1751460530.9394686,25,55,69,106,288,62,23,20
1751460530.9624076,23,56,77,138,256,61,23,21
1751460530.9993095,22,53,79,134,232,55,19,20
1751460531.0222757,23,47,78,134,214,42,22,22
1751460531.0591497,23,59,83,100,212,35,24,22
1751460531.0821157,24,60,86,114,168,46,24,22
1751460531.118989,24,58,79,119,136,45,22,22
1751460531.1419585,26,55,84,133,133,47,22,22
1751460531.164866,27,53,76,133,132,46,21,21
1751460531.1868353,28,61,82,122,109,37,21,20
1751460531.2168658,30,74,97,125,121,38,23,18
1751460531.2387795,29,73,96,132,123,35,22,19
1751460531.262312,29,66,96,133,106,35,22,19
1751460531.2992094,29,53,80,136,115,33,23,18
1751460531.3221202,31,59,73,116,110,70,25,19
1751460531.3590224,36,81,102,140,105,99,26,21
1751460531.3819885,37,80,101,139,97,108,25,21
1751460531.4048991,44,107,131,172,83,114,29,25
1751460531.4417999,60,188,232,234,80,87,30,27
1751460531.4647706,59,188,236,242,127,87,30,27
1751460531.5016396,59,176,228,242,183,77,29,28
1751460531.5246844,37,81,144,146,180,72,27,24
1751460531.5476227,34,59,110,161,183,61,25,24
1751460531.5845437,33,63,98,147,96,45,23,24
1751460531.6214828,25,59,82,128,106,60,25,20
1751460531.645425,26,87,96,109,131,64,26,23
1751460531.681295,27,96,119,98,145,63,26,23
1751460531.7042608,34,106,134,107,136,57,27,25
1751460531.7411966,48,106,150,117,213,52,28,27
1751460531.7641306,48,121,151,121,248,55,29,24
1751460531.8010328,52,133,154,167,331,61,31,24
1751460531.8249407,54,140,158,162,340,67,32,22
1751460531.8618422,52,116,144,158,268,55,30,26
1751460531.8848085,49,99,149,124,256,55,29,26
1751460531.9212892,47,86,131,156,189,55,29,27
1751460531.945257,44,75,115,167,286,65,32,24
1751460531.9811568,32,51,80,174,325,103,42,22
1751460532.0050979,38,43,70,178,304,107,42,20
1751460532.0419674,52,82,105,163,284,107,43,23
1751460532.064932,56,97,129,167,321,81,34,24
1751460532.0868745,58,100,130,163,325,83,35,24
1751460532.1318743,60,94,124,133,362,82,37,25
1751460532.161767,56,76,104,122,225,82,34,25
1751460532.1847055,55,81,112,161,215,89,34,28
1751460532.2216058,40,84,113,181,219,89,32,26
1751460532.2445455,38,72,103,199,214,82,32,25
1751460532.2814786,40,56,86,184,281,65,29,20
1751460532.305413,38,42,61,180,293,65,30,20
1751460532.3344994,40,40,54,148,239,59,28,21
1751460532.3644211,40,38,42,89,313,86,29,22
1751460532.3873308,37,39,44,99,287,110,37,24
1751460532.4092739,37,38,45,111,316,134,42,25
1751460532.432585,42,38,44,114,325,135,42,25
1751460532.4545262,41,34,48,133,317,150,44,23
1751460532.4844468,37,33,50,120,322,139,39,22
1751460532.507413,38,31,48,111,292,131,35,21
1751460532.5293257,32,30,48,109,280,130,36,20
1751460532.5522656,33,32,43,79,325,128,34,22
1751460532.574822,33,29,33,69,304,123,33,21
1751460532.6197302,31,35,54,107,214,96,31,23
1751460532.6416757,26,33,67,159,210,76,29,21
1751460532.66461,28,35,70,164,209,67,28,22
1751460532.7025092,33,41,69,166,207,61,26,23
1751460532.7244864,39,51,80,163,216,53,27,23
1751460532.7473974,39,52,79,123,149,88,36,24
1751460532.7843277,33,46,84,139,222,112,39,23
1751460532.8072379,31,42,83,143,221,113,39,21
1751460532.851866,29,44,87,165,202,85,32,19
1751460532.8818228,34,45,78,149,89,52,27,20
1751460532.90419,34,51,82,149,94,59,27,23
1751460532.9277334,34,48,60,122,81,63,25,23
1751460532.9646327,30,44,47,94,105,116,29,24
1751460532.9876032,26,39,48,95,106,119,29,23
1751460533.0245004,30,32,55,80,97,121,28,21
1751460533.0474432,31,33,59,84,146,124,28,23
1751460533.0843136,30,34,66,115,146,108,32,23
1751460533.1072526,30,32,62,125,146,105,31,21
1751460533.1521344,36,32,59,123,107,151,35,21
1751460533.181085,39,28,49,98,91,154,89,23
1751460533.2049904,38,26,42,77,94,154,91,23
1751460533.2279568,37,28,44,83,87,122,93,22
1751460533.2498703,29,25,52,108,80,98,93,21
1751460533.2867994,39,27,58,114,74,52,46,26
1751460533.3097115,46,27,61,113,69,46,39,26
1751460533.3466115,46,30,64,213,81,98,30,30
1751460533.3695512,53,31,67,214,75,100,67,34
1751460533.4074757,88,46,59,216,71,108,105,45
1751460533.430419,91,45,49,149,82,111,107,44
1751460533.4672885,502,162,46,85,90,127,119,120
1751460533.48923,694,215,53,84,101,137,190,216
1751460533.5271294,721,233,57,105,92,138,205,225
1751460533.5490701,737,237,75,115,84,129,204,225
1751460533.5869963,575,194,70,111,70,110,99,109
1751460533.6099088,604,182,69,112,68,76,62,100
1751460533.6468387,584,225,83,74,61,57,60,100
1751460533.669747,613,236,94,73,52,58,62,122
1751460533.7076466,378,239,108,68,49,65,54,108
1751460533.7295876,516,253,111,79,52,90,62,128
1751460533.774644,497,312,124,83,54,133,74,132
1751460533.8035927,501,313,124,86,52,152,71,120
1751460533.827502,408,379,147,94,69,153,87,127
1751460533.8498623,490,357,147,95,70,134,91,166
1751460533.8867598,581,386,143,94,76,135,92,175
1751460533.9098113,576,383,143,91,79,113,90,178
1751460533.9467425,477,276,130,83,71,133,71,137
1751460533.9696536,340,245,128,79,65,128,66,113
1751460533.9925916,280,180,118,76,63,148,73,111
1751460534.0296025,326,159,132,92,56,175,69,96
1751460534.0743713,294,153,98,83,49,183,69,70
1751460534.1043231,213,132,163,142,63,168,62,61
1751460534.127231,188,118,164,192,66,192,68,53
1751460534.1491988,181,141,167,202,75,213,71,47
1751460534.18707,165,149,167,199,73,212,63,39
1751460534.2100096,153,158,178,227,66,209,63,38
1751460534.2319775,131,154,196,342,78,184,55,35
1751460534.26988,76,101,199,356,79,122,40,29
1751460534.29179,55,94,192,353,85,123,42,28
1751460534.3296895,50,55,151,219,87,106,37,25
1751460534.3526275,48,49,144,205,82,102,35,24
1751460534.3895285,36,49,168,212,76,95,35,26
1751460534.4119449,30,44,138,174,95,98,34,25
1751460534.449846,30,47,155,223,116,108,39,28
1751460534.471785,30,46,160,231,120,104,39,27
1751460534.5166655,29,41,154,286,265,107,39,27
1751460534.5465584,27,35,124,270,314,86,34,23
1751460534.5694964,29,39,131,291,317,79,34,25
1751460534.5924356,37,38,123,277,298,73,32,25
1751460534.6297097,41,44,121,271,128,59,29,23
1751460534.65165,40,45,120,282,113,58,30,23
1751460534.6895566,35,42,108,272,270,102,36,23
1751460534.711964,33,37,95,258,272,109,39,23
1751460534.7498622,32,40,85,163,281,113,39,25
1751460534.7725322,31,39,89,170,266,106,37,24
1751460534.80979,30,40,129,213,392,91,35,27
1751460534.8317556,45,56,129,219,411,98,37,32
1751460534.869628,106,92,123,190,415,104,45,44
1751460534.8925674,111,92,77,124,410,106,44,43
1751460534.9299705,111,98,71,68,142,64,35,39
1751460534.9518845,95,94,67,62,119,57,29,33
1751460534.9898133,173,140,68,52,86,49,32,39
1751460535.0119054,180,143,69,53,66,53,33,37
1751460535.0497768,168,126,89,127,76,65,78,36
1751460535.0727155,91,78,83,126,69,66,79,29
1751460535.0946565,103,75,78,124,73,83,81,33
1751460535.116956,171,105,82,125,63,84,82,36
1751460535.1399267,175,109,65,66,44,79,51,37
1751460535.169843,176,109,62,133,68,80,39,36
1751460535.1927552,171,110,65,137,64,70,36,33
1751460535.2150416,182,99,64,137,66,70,37,40
1751460535.2519386,193,95,62,73,61,78,84,39
1751460535.2818325,193,94,56,59,61,79,88,39
1751460535.311753,143,69,46,46,64,72,88,41
1751460535.3346899,137,64,45,43,57,76,90,53
1751460535.3725884,138,63,27,38,46,64,46,57
1751460535.394535,160,79,33,41,47,70,66,88
1751460535.4394097,115,70,37,39,50,65,72,93
