Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8
1751460476.2871203,90,144,219,662,910,298,130,83
1751460476.3240223,84,124,211,683,885,281,125,80
1751460476.3718932,75,124,214,594,785,256,118,69
1751460476.3998196,58,109,197,608,866,194,83,53
1751460476.423755,54,105,201,668,956,214,86,51
1751460476.4526987,52,103,202,671,896,217,83,54
1751460476.4816015,51,99,196,637,917,215,80,58
1751460476.5045385,53,104,201,620,807,209,82,62
1751460476.5424373,60,107,208,637,839,191,86,66
1751460476.5653763,59,115,214,622,867,194,89,66
1751460476.6022768,60,105,198,598,854,187,87,61
1751460476.624219,58,105,184,537,793,185,88,61
1751460476.6471584,54,95,154,480,705,153,75,57
1751460476.68425,48,87,141,470,630,161,72,54
1751460476.7299366,52,90,142,555,763,151,73,53
1751460476.7598562,51,79,136,563,928,183,71,53
1751460476.7837918,53,81,163,614,980,224,79,62
1751460476.8127155,56,84,175,525,916,237,84,66
1751460476.843632,59,89,195,654,1020,281,97,77
1751460476.8725545,57,90,201,704,1043,296,101,75
1751460476.8954928,59,99,211,675,1052,253,93,72
1751460476.923926,62,107,218,745,1170,366,119,81
1751460476.9618244,59,111,230,701,1110,324,112,78
1751460476.9847634,60,105,223,779,1134,353,117,85
1751460477.0067046,62,103,217,822,1092,352,117,87
1751460477.0446033,62,94,205,883,1026,239,111,85
1751460477.0665445,60,93,208,864,983,244,107,85
1751460477.0905073,56,95,195,806,969,242,107,74
1751460477.127382,52,93,186,695,992,235,102,65
1751460477.1518278,47,84,157,627,1014,240,92,58
1751460477.1727722,51,79,155,589,1015,244,92,57
1751460477.2016947,50,78,179,592,924,252,87,57
1751460477.2246335,55,90,183,592,845,249,87,62
1751460477.2555492,58,93,193,556,753,243,89,68
1751460477.2844722,51,85,151,438,635,203,76,62
1751460477.3074107,47,77,133,421,620,148,67,61
1751460477.344312,31,48,81,367,528,97,40,39
1751460477.3672512,32,48,76,340,542,93,40,40
1751460477.4046886,38,54,92,228,438,105,42,40
